Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,2.5 mg,Every 6 hours,10 hours,36-50,Greenfield Biotech,95.4%,Nausea,₹446.36
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,50 mg,As needed (SOS),6 hours,13-18,Zenith Biocare,97.0%,"Stomach upset, Insomnia, Mild rash",₹247.34
Headache,Analgesic Therapy,Ibuprofen,1000 mg,Once daily - Night,4 hours,0-12,Horizon Meds,95.8%,Drowsiness,₹313.37
High Cholesterol,Statin Therapy,Rosuvastatin,2.5 mg,Once daily - Night,12 hours,0-12,Vitacore Pharmaceuticals,96.4%,Mild rash,₹552.57
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,650 mg,Once weekly,2 hours,19-35,TrueMed Industries,97.1%,"Constipation, Dizziness, Headache",₹126.64
Depression,Antidepressant Therapy,Escitalopram,150 mg,After meals,24 hours,19-35,Silver Cross Pharma,96.8%,"Constipation, Mild rash",₹185.30
Migraine,Triptan Therapy,Sumatriptan,5 mg,Once daily - Night,8 hours,19-35,Zenith Biocare,98.1%,"Dizziness, Dry mouth",₹315.54
High Cholesterol,Statin Therapy,Simvastatin,650 mg,Thrice daily - After meals,12 hours,51-65,MedLife Labs,96.0%,"Mild rash, None reported",₹324.76
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,300 mg,Before meals,24 hours,36-50,Zenith Biocare,99.2%,Blurred vision,₹627.75
Chronic Pain,Analgesic Therapy,Tramadol,25 mg,Every 8 hours,4 hours,19-35,TrueMed Industries,96.1%,"Insomnia, Stomach upset, Fatigue",₹213.32
Acidity / GERD,Antacid Therapy,Pantoprazole,650 mg,Before meals,12 hours,36-50,Sunrise Pharma,95.5%,"Drowsiness, Dizziness, Fatigue",₹769.14
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,250 mg,Every 8 hours,2 hours,13-18,Wellspring Rx,95.6%,"Dry mouth, Dizziness, Diarrhea",₹601.20
Bacterial Infection,Antibiotic Therapy,Azithromycin,150 mg,Twice daily - Morning & Night,6 hours,0-12,Greenfield Biotech,99.4%,"Headache, Stomach upset, Dry mouth",₹612.31
Arthritis,NSAID Therapy,Ibuprofen,5 mg,Every 6 hours,10 hours,36-50,Horizon Meds,99.4%,"Insomnia, Constipation, Diarrhea",₹819.18
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,500 mg,Every 8 hours,2 hours,65+,Nova Health,95.5%,"Diarrhea, Mild rash, Headache",₹21.20
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,500 mg,As needed (SOS),2 hours,51-65,TrueMed Industries,98.6%,"Fatigue, Nausea, Stomach upset",₹587.18
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,750 mg,Twice daily - Morning & Night,8 hours,0-12,Greenfield Biotech,98.0%,"Diarrhea, Fatigue",₹705.56
Fever,Antipyretic Therapy,Paracetamol,500 mg,Before meals,2 hours,51-65,Nova Health,98.9%,"Insomnia, Nausea, Diarrhea",₹203.89
Common Cold,Antihistamine Therapy,Phenylephrine Combo,100 mg,After meals,4 hours,65+,Cygnus Life Sciences,96.2%,Nausea,₹116.59
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,250 mg,As needed (SOS),4 hours,19-35,Vitacore Pharmaceuticals,96.4%,Blurred vision,₹184.45
Insomnia,Sedative Therapy,Doxylamine,150 mg,Once daily - Morning,24 hours,19-35,Zenith Biocare,96.1%,"Mild rash, Drowsiness, Dizziness",₹666.82
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Every 8 hours,10 hours,0-12,Wellspring Rx,96.2%,"Diarrhea, Nausea, Mild rash",₹376.07
Osteoporosis,Supplementation,Alendronate,100 mg,Twice daily - Morning & Night,24 hours,65+,PurePath Pharma,96.7%,"Drowsiness, Constipation, Insomnia",₹377.13
Common Cold,Symptomatic Relief,Cetrizine,150 mg,Once daily - Night,10 hours,0-12,Vitacore Pharmaceuticals,96.6%,"Headache, Fatigue, Drowsiness",₹736.18
Chronic Pain,Analgesic Therapy,Tramadol,10 mg,Thrice daily - After meals,24 hours,0-12,Greenfield Biotech,95.1%,"Insomnia, Fatigue",₹317.88
Osteoporosis,Supplementation,Calcium + Vitamin D3,500 mg,Every 6 hours,2 hours,0-12,Sunrise Pharma,95.0%,"Blurred vision, Fatigue, Insomnia",₹129.25
Headache,Analgesic Therapy,Paracetamol,750 mg,Once weekly,2 hours,0-12,Greenfield Biotech,98.7%,"Constipation, Blurred vision",₹573.49
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,5 mg,Thrice daily - After meals,12 hours,36-50,Horizon Meds,95.2%,Constipation,₹622.89
Chronic Pain,Analgesic Therapy,Diclofenac,500 mg,Once weekly,24 hours,13-18,TrueMed Industries,96.6%,Loss of appetite,₹460.83
High Cholesterol,Statin Therapy,Rosuvastatin,100 mg,Once daily - Morning,18 hours,0-12,TrueMed Industries,99.0%,"Headache, Stomach upset",₹335.43
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,50 mg,Thrice daily - After meals,24 hours,36-50,Horizon Meds,95.8%,None reported,₹427.70
Asthma,Steroid Inhalation,Budesonide,750 mg,Once daily - Morning,24 hours,65+,Silver Cross Pharma,96.8%,"Dry mouth, Blurred vision",₹30.16
Cough & Cold,Antitussive Therapy,Ambroxol,650 mg,As needed (SOS),18 hours,0-12,Nova Health,96.9%,"Drowsiness, Dry mouth, Diarrhea",₹786.88
Cough & Cold,Antitussive Therapy,Ambroxol,5 mg,As needed (SOS),12 hours,51-65,Cygnus Life Sciences,98.5%,"Constipation, Stomach upset, Dizziness",₹9.83
Hypertension,Diuretic Therapy,Losartan,500 mg,Once weekly,12 hours,36-50,Cygnus Life Sciences,97.7%,"Dizziness, Dry mouth, Blurred vision",₹78.81
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,500 mg,As needed (SOS),12 hours,0-12,TrueMed Industries,97.1%,"None reported, Dry mouth",₹42.63
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,750 mg,Before meals,10 hours,13-18,PurePath Pharma,99.7%,"Blurred vision, Headache, Drowsiness",₹775.89
Common Cold,Rest & Hydration,Paracetamol,100 mg,Once daily - Night,6 hours,19-35,Zenith Biocare,99.8%,"Constipation, Fatigue, Headache",₹216.24
Vitamin D Deficiency,Supplementation,Cholecalciferol,750 mg,Twice daily - Morning & Night,10 hours,51-65,Sunrise Pharma,98.6%,"Insomnia, Dizziness",₹444.78
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,1000 mg,Once daily - Night,6 hours,65+,Silver Cross Pharma,97.5%,"Diarrhea, Loss of appetite",₹536.88
Headache,Analgesic Therapy,Naproxen,10 mg,As needed (SOS),2 hours,51-65,TrueMed Industries,98.0%,"Dizziness, Nausea, Headache",₹221.30
Acidity / GERD,Antacid Therapy,Ranitidine,250 mg,Every 6 hours,12 hours,0-12,Silver Cross Pharma,95.7%,Dry mouth,₹263.97
Hypertension,ACE Inhibitor Therapy,Losartan,100 mg,Before meals,18 hours,36-50,Wellspring Rx,97.5%,Mild rash,₹769.08
Osteoporosis,Supplementation,Alendronate,300 mg,Once weekly,8 hours,65+,Cygnus Life Sciences,98.1%,"Fatigue, Insomnia, Mild rash",₹752.94
Asthma,Steroid Inhalation,Budesonide,500 mg,Twice daily - Morning & Night,18 hours,13-18,Nova Health,96.2%,Headache,₹63.32
Depression,Antidepressant Therapy,Fluoxetine,300 mg,Once weekly,24 hours,13-18,Sunrise Pharma,95.8%,"Headache, Insomnia, Loss of appetite",₹155.34
Migraine,Triptan Therapy,Paracetamol,25 mg,Twice daily - Morning & Night,2 hours,65+,Horizon Meds,98.1%,Loss of appetite,₹359.09
Arthritis,NSAID Therapy,Ibuprofen,100 mg,Every 6 hours,18 hours,51-65,Horizon Meds,96.8%,"Mild rash, Drowsiness",₹39.94
Migraine,Analgesic Therapy,Rizatriptan,300 mg,Every 6 hours,10 hours,0-12,MedLife Labs,99.1%,"None reported, Constipation, Blurred vision",₹527.19
Migraine,Triptan Therapy,Rizatriptan,750 mg,Before meals,24 hours,0-12,Cygnus Life Sciences,97.3%,"Blurred vision, Fatigue",₹756.19
Fever,Antipyretic Therapy,Aspirin,150 mg,Before meals,2 hours,0-12,PurePath Pharma,97.7%,"Fatigue, Nausea, Mild rash",₹289.42
Migraine,Analgesic Therapy,Rizatriptan,750 mg,Once daily - Night,4 hours,13-18,Cygnus Life Sciences,96.9%,Dizziness,₹611.92
Insomnia,Sedative Therapy,Melatonin,1000 mg,After meals,18 hours,13-18,Vitacore Pharmaceuticals,98.5%,"Blurred vision, Fatigue",₹260.79
Fever,Antipyretic Therapy,Ibuprofen,50 mg,As needed (SOS),24 hours,13-18,PurePath Pharma,97.4%,"Loss of appetite, Dizziness, None reported",₹73.64
Migraine,Triptan Therapy,Paracetamol,200 mg,Twice daily - Morning & Night,4 hours,0-12,TrueMed Industries,97.4%,Blurred vision,₹810.86
Migraine,Triptan Therapy,Rizatriptan,1000 mg,Once daily - Morning,4 hours,65+,Cygnus Life Sciences,95.1%,"Stomach upset, Drowsiness, Insomnia",₹55.51
Migraine,Analgesic Therapy,Rizatriptan,150 mg,After meals,4 hours,19-35,Cygnus Life Sciences,95.6%,Headache,₹245.60
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,150 mg,Thrice daily - After meals,12 hours,0-12,Zenith Biocare,96.6%,Dizziness,₹289.12
Insomnia,Sedative Therapy,Melatonin,750 mg,Thrice daily - After meals,4 hours,65+,Silver Cross Pharma,97.3%,"Dry mouth, Nausea, None reported",₹397.51
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,50 mg,After meals,4 hours,65+,PurePath Pharma,96.8%,"Blurred vision, Loss of appetite, Fatigue",₹48.13
Depression,Antidepressant Therapy,Sertraline,300 mg,Once daily - Morning,8 hours,65+,Wellspring Rx,98.0%,"Mild rash, Stomach upset",₹485.30
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,250 mg,After meals,8 hours,13-18,Sunrise Pharma,98.8%,"Nausea, Fatigue, None reported",₹653.89
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,200 mg,Every 8 hours,24 hours,19-35,MedLife Labs,98.0%,Stomach upset,₹499.39
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,200 mg,Once daily - Night,24 hours,65+,MedLife Labs,99.8%,"Fatigue, Blurred vision",₹607.51
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,650 mg,Every 6 hours,24 hours,36-50,TrueMed Industries,98.6%,"Dry mouth, Insomnia, Fatigue",₹834.63
High Cholesterol,Statin Therapy,Atorvastatin,650 mg,Once daily - Morning,6 hours,0-12,Vitacore Pharmaceuticals,96.1%,"Drowsiness, Loss of appetite, Insomnia",₹429.00
Anxiety Disorder,Anxiolytic Therapy,Buspirone,2.5 mg,After meals,8 hours,0-12,MedLife Labs,96.2%,"Stomach upset, Loss of appetite",₹203.76
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,250 mg,Every 6 hours,8 hours,19-35,MedLife Labs,98.6%,"None reported, Insomnia, Blurred vision",₹135.51
Allergy,Antihistamine Therapy,Loratadine,200 mg,Once daily - Morning,12 hours,0-12,Wellspring Rx,99.5%,Stomach upset,₹445.46
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,750 mg,Every 8 hours,12 hours,65+,Horizon Meds,97.6%,"Stomach upset, Dry mouth",₹403.73
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,10 mg,Once weekly,6 hours,51-65,Vitacore Pharmaceuticals,95.6%,Headache,₹408.85
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,5 mg,As needed (SOS),24 hours,65+,Silver Cross Pharma,99.2%,Insomnia,₹417.63
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,500 mg,Twice daily - Morning & Night,4 hours,0-12,Horizon Meds,97.6%,Drowsiness,₹457.41
Headache,Analgesic Therapy,Paracetamol,150 mg,After meals,10 hours,0-12,Sunrise Pharma,96.0%,"Mild rash, Blurred vision, Loss of appetite",₹265.10
High Cholesterol,Statin Therapy,Rosuvastatin,250 mg,Twice daily - Morning & Night,24 hours,51-65,MedLife Labs,95.3%,Dizziness,₹672.49
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,200 mg,Every 6 hours,10 hours,65+,Nova Health,99.6%,"Insomnia, Constipation",₹303.21
Arthritis,NSAID Therapy,Diclofenac,1000 mg,Before meals,4 hours,36-50,Silver Cross Pharma,99.8%,Drowsiness,₹294.87
Allergy,Antihistamine Therapy,Cetrizine,750 mg,Before meals,8 hours,13-18,Horizon Meds,99.7%,"Blurred vision, Diarrhea",₹711.43
Hypertension,Diuretic Therapy,Losartan,10 mg,After meals,10 hours,36-50,PurePath Pharma,97.1%,"Mild rash, Diarrhea, Drowsiness",₹469.53
High Cholesterol,Statin Therapy,Rosuvastatin,500 mg,Every 8 hours,2 hours,13-18,Nova Health,95.2%,Dry mouth,₹273.82
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,250 mg,Once daily - Night,12 hours,19-35,TrueMed Industries,97.3%,"Dizziness, Blurred vision, Dry mouth",₹526.04
High Cholesterol,Statin Therapy,Simvastatin,750 mg,Twice daily - Morning & Night,24 hours,65+,MedLife Labs,95.2%,"Drowsiness, Nausea",₹105.28
Arthritis,NSAID Therapy,Ibuprofen,650 mg,Once daily - Morning,2 hours,0-12,Vitacore Pharmaceuticals,95.2%,"Blurred vision, Dizziness",₹504.70
Migraine,Triptan Therapy,Paracetamol,150 mg,Once daily - Night,4 hours,51-65,Sunrise Pharma,95.3%,"Mild rash, Stomach upset, Dizziness",₹87.57
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,50 mg,Once daily - Night,10 hours,51-65,Horizon Meds,99.7%,Headache,₹123.96
Asthma,Bronchodilator Therapy,Montelukast,1000 mg,Every 8 hours,8 hours,13-18,Zenith Biocare,98.7%,"Stomach upset, Nausea",₹264.95
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,2.5 mg,Once daily - Night,4 hours,36-50,Silver Cross Pharma,99.5%,Dizziness,₹525.92
Allergy,Antihistamine Therapy,Loratadine,250 mg,Once weekly,2 hours,19-35,PurePath Pharma,96.4%,"Loss of appetite, Diarrhea",₹436.13
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,2.5 mg,Every 6 hours,24 hours,13-18,PurePath Pharma,95.5%,Dizziness,₹158.51
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,2.5 mg,Once daily - Night,12 hours,0-12,Nova Health,97.5%,"Fatigue, Insomnia",₹712.75
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,200 mg,After meals,10 hours,13-18,Horizon Meds,96.1%,Insomnia,₹619.85
Bacterial Infection,Antibiotic Therapy,Amoxicillin,200 mg,Every 6 hours,2 hours,13-18,Zenith Biocare,95.9%,None reported,₹355.44
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,50 mg,As needed (SOS),12 hours,19-35,Nova Health,97.1%,Diarrhea,₹768.17
Asthma,Bronchodilator Therapy,Salbutamol,750 mg,Once weekly,6 hours,0-12,Vitacore Pharmaceuticals,97.4%,"Fatigue, Diarrhea",₹41.62
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,50 mg,Thrice daily - After meals,4 hours,0-12,Cygnus Life Sciences,95.6%,Diarrhea,₹475.46
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,300 mg,Once weekly,24 hours,19-35,Wellspring Rx,96.7%,"Fatigue, Stomach upset",₹304.67
Insomnia,Sedative Therapy,Zolpidem,2.5 mg,Once daily - Night,24 hours,51-65,Greenfield Biotech,95.1%,Dizziness,₹500.75
Acidity / GERD,Antacid Therapy,Ranitidine,150 mg,Every 6 hours,18 hours,36-50,TrueMed Industries,97.7%,"Mild rash, Constipation",₹824.05
Arthritis,NSAID Therapy,Ibuprofen,150 mg,As needed (SOS),2 hours,65+,Wellspring Rx,98.7%,"Dizziness, None reported, Blurred vision",₹723.35
Common Cold,Antihistamine Therapy,Cetrizine,25 mg,Thrice daily - After meals,4 hours,51-65,Wellspring Rx,95.7%,"Blurred vision, Fatigue, Dizziness",₹105.83
Fever,Antipyretic Therapy,Paracetamol,5 mg,Before meals,2 hours,0-12,Cygnus Life Sciences,96.2%,Stomach upset,₹292.23
Migraine,Analgesic Therapy,Sumatriptan,25 mg,Before meals,2 hours,19-35,Vitacore Pharmaceuticals,97.8%,"Fatigue, Loss of appetite",₹58.13
Allergy,Antihistamine Therapy,Levocetirizine,300 mg,Twice daily - Morning & Night,2 hours,0-12,Silver Cross Pharma,95.1%,"Loss of appetite, Fatigue",₹364.63
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,25 mg,Every 8 hours,4 hours,0-12,Vitacore Pharmaceuticals,99.6%,"Drowsiness, Dry mouth",₹210.38
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,750 mg,Once daily - Night,8 hours,19-35,Nova Health,98.3%,Drowsiness,₹340.61
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,250 mg,Once weekly,4 hours,19-35,Horizon Meds,96.8%,Blurred vision,₹693.75
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,500 mg,Once daily - Morning,6 hours,51-65,Wellspring Rx,99.5%,Loss of appetite,₹243.04
Depression,Antidepressant Therapy,Sertraline,250 mg,As needed (SOS),2 hours,13-18,Cygnus Life Sciences,95.1%,"Drowsiness, Fatigue",₹516.53
Depression,Antidepressant Therapy,Escitalopram,750 mg,Once daily - Night,8 hours,65+,Wellspring Rx,99.2%,"Drowsiness, Nausea, Mild rash",₹334.66
Depression,Antidepressant Therapy,Sertraline,300 mg,Every 8 hours,4 hours,13-18,Horizon Meds,96.3%,"None reported, Loss of appetite, Dizziness",₹214.10
Migraine,Analgesic Therapy,Rizatriptan,500 mg,Once daily - Morning,18 hours,19-35,PurePath Pharma,97.4%,"Dizziness, Diarrhea",₹731.47
Depression,Antidepressant Therapy,Sertraline,5 mg,Once weekly,6 hours,19-35,PurePath Pharma,98.7%,"Fatigue, None reported",₹118.75
Arthritis,NSAID Therapy,Diclofenac,200 mg,Twice daily - Morning & Night,10 hours,13-18,TrueMed Industries,96.0%,"Drowsiness, Stomach upset, Dizziness",₹39.02
Depression,Antidepressant Therapy,Fluoxetine,100 mg,Once daily - Night,18 hours,13-18,Sunrise Pharma,96.8%,"Nausea, Mild rash",₹427.72
Fever,Antipyretic Therapy,Paracetamol,750 mg,Thrice daily - After meals,18 hours,0-12,Wellspring Rx,99.8%,Nausea,₹84.38
Chronic Pain,Analgesic Therapy,Paracetamol,50 mg,After meals,18 hours,36-50,Horizon Meds,99.6%,Drowsiness,₹139.91
Arthritis,NSAID Therapy,Ibuprofen,50 mg,Before meals,8 hours,0-12,Cygnus Life Sciences,95.8%,Drowsiness,₹369.11
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,300 mg,Once daily - Morning,24 hours,65+,Vitacore Pharmaceuticals,95.8%,Headache,₹37.77
Hypertension,Diuretic Therapy,Losartan,25 mg,Once daily - Night,18 hours,19-35,TrueMed Industries,98.6%,Dry mouth,₹806.71
Fever,Antipyretic Therapy,Ibuprofen,25 mg,Thrice daily - After meals,12 hours,19-35,Horizon Meds,95.5%,"Fatigue, Headache, Blurred vision",₹257.29
Allergy,Antihistamine Therapy,Levocetirizine,1000 mg,Once daily - Morning,24 hours,51-65,Horizon Meds,99.4%,"Constipation, Stomach upset",₹52.01
Bacterial Infection,Antibiotic Therapy,Doxycycline,50 mg,Every 8 hours,24 hours,0-12,Cygnus Life Sciences,99.8%,"Fatigue, Loss of appetite, Diarrhea",₹721.44
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,650 mg,Once weekly,4 hours,36-50,Silver Cross Pharma,99.0%,Constipation,₹694.15
Migraine,Triptan Therapy,Sumatriptan,25 mg,Every 6 hours,8 hours,19-35,Wellspring Rx,95.5%,"Dry mouth, Constipation",₹671.83
Hypertension,Diuretic Therapy,Amlodipine,100 mg,Once weekly,8 hours,51-65,Greenfield Biotech,96.8%,Drowsiness,₹745.56
Arthritis,NSAID Therapy,Diclofenac,1000 mg,Once daily - Morning,8 hours,19-35,MedLife Labs,98.5%,"Nausea, Drowsiness",₹604.38
Chronic Pain,Analgesic Therapy,Paracetamol,2.5 mg,Every 8 hours,18 hours,0-12,Cygnus Life Sciences,99.4%,"Drowsiness, Constipation",₹83.10
Arthritis,NSAID Therapy,Diclofenac,5 mg,Twice daily - Morning & Night,24 hours,19-35,Cygnus Life Sciences,97.0%,"Dizziness, Constipation, Loss of appetite",₹546.84
Insomnia,Sedative Therapy,Melatonin,250 mg,As needed (SOS),12 hours,0-12,PurePath Pharma,97.0%,Drowsiness,₹273.58
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,150 mg,Twice daily - Morning & Night,10 hours,0-12,TrueMed Industries,95.0%,"Stomach upset, None reported",₹646.17
Allergy,Antihistamine Therapy,Levocetirizine,50 mg,Once daily - Night,18 hours,19-35,Greenfield Biotech,97.1%,Insomnia,₹30.05
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,200 mg,After meals,6 hours,51-65,Greenfield Biotech,98.0%,Dizziness,₹806.33
Fever,Antipyretic Therapy,Ibuprofen,200 mg,Once daily - Morning,24 hours,13-18,MedLife Labs,95.0%,Fatigue,₹408.95
Depression,Antidepressant Therapy,Sertraline,100 mg,Thrice daily - After meals,8 hours,13-18,PurePath Pharma,98.4%,Diarrhea,₹59.72
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,250 mg,After meals,10 hours,19-35,MedLife Labs,98.5%,Nausea,₹230.08
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,Twice daily - Morning & Night,12 hours,51-65,TrueMed Industries,95.4%,"Blurred vision, Insomnia",₹76.23
Allergy,Antihistamine Therapy,Cetrizine,25 mg,Every 6 hours,2 hours,0-12,Cygnus Life Sciences,98.0%,Dry mouth,₹339.02
Acidity / GERD,Antacid Therapy,Ranitidine,100 mg,Once weekly,2 hours,51-65,Zenith Biocare,97.4%,Loss of appetite,₹37.14
Allergy,Antihistamine Therapy,Levocetirizine,100 mg,Once daily - Night,18 hours,13-18,Vitacore Pharmaceuticals,98.3%,"Drowsiness, Fatigue, Diarrhea",₹567.55
Fever,Antipyretic Therapy,Aspirin,25 mg,As needed (SOS),4 hours,51-65,Nova Health,99.2%,Loss of appetite,₹709.16
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,100 mg,Once daily - Morning,24 hours,13-18,MedLife Labs,98.6%,"Loss of appetite, Drowsiness",₹533.67
Chronic Pain,Analgesic Therapy,Paracetamol,50 mg,Twice daily - Morning & Night,6 hours,0-12,Vitacore Pharmaceuticals,95.3%,Drowsiness,₹422.16
Hypertension,Beta Blocker Therapy,Hydrochlorothiazide,250 mg,Once weekly,8 hours,19-35,Sunrise Pharma,98.9%,"Constipation, Drowsiness",₹418.12
Asthma,Bronchodilator Therapy,Budesonide,750 mg,After meals,6 hours,13-18,Horizon Meds,96.6%,"Dizziness, Diarrhea, Mild rash",₹129.17
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,1000 mg,Twice daily - Morning & Night,18 hours,51-65,MedLife Labs,99.6%,Diarrhea,₹587.36
Hypertension,ACE Inhibitor Therapy,Amlodipine,5 mg,Before meals,2 hours,36-50,Cygnus Life Sciences,99.4%,"Stomach upset, Blurred vision, Fatigue",₹831.10
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,500 mg,Once daily - Morning,24 hours,13-18,Cygnus Life Sciences,95.7%,Mild rash,₹304.67
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,5 mg,Once weekly,4 hours,0-12,PurePath Pharma,96.1%,"Insomnia, Nausea, Headache",₹709.21
Asthma,Steroid Inhalation,Salbutamol,2.5 mg,After meals,10 hours,65+,Horizon Meds,98.0%,"None reported, Constipation",₹655.94
